10,,BASTI,8.3,10.9,-24%,D,54.6,127.7,-57%,D
11,,BHADOHI,,5.7,,*,,108.1,,*
12,,CHANDAULI,15.0,3.3,355%,LE,50.0,71.8,-30%,D
13,,CHITRAKOOT,0.0,16.6,-100%,NR,37.5,111.7,-66%,LD
14,,DEORIA,0.0,8.0,-100%,NR,11.3,127.2,-91%,LD
15,,FARRUKHABAD,3.7,6.9,-46%,D,55.5,77.6,-28%,D
16,,FATEHPUR,0.0,8.3,-100%,NR,12.3,87.6,-86%,LD
17,,GHAZIPUR,23.1,5.6,312%,LE,77.2,98.2,-21%,D
18,,GONDA,1.5,7.7,-81%,LD,37.3,138.7,-73%,LD
19,,GORAKHPUR,0.9,8.9,-90%,LD,107.1,194.5,-45%,D
20,,HARDOI,0.0,4.3,-100%,NR,62.5,78.7,-21%,D
21,,JAUNPUR,0.0,4.7,-100%,NR,23.4,84.3,-72%,LD
22,,KANNAUJ,2.9,4.8,-41%,D,57.5,60.7,-5%,N
23,,KANPUR CITY,0.0,8.8,-99%,LD,30.5,78.3,-61%,LD
24,,KANPUR DEHAT,0.4,5.1,-93%,LD,12.4,54.7,-77%,LD
25,,KAUSHAMBI,0.0,5.3,-100%,NR,18.7,73.8,-75%,LD
26,,KHERI,17.9,6.7,168%,LE,53.6,142.7,-62%,LD
27,,KUSHI NAGAR,5.0,7.0,-29%,D,13.8,119.5,-88%,LD
28,,LUCKNOW,0.3,6.0,-95%,LD,35.8,90.2,-60%,LD
29,,MAHARAJGANJ,4.0,5.1,-21%,D,107.2,135.3,-21%,D
30,,MAU,0.0,10.3,-100%,NR,7.6,123.1,-94%,LD
31,,MIRZAPUR,0.0,7.0,-100%,NR,33.8,116.8,-71%,LD
32,,PRATAPGARH,0.0,5.6,-100%,NR,29.4,85.0,-65%,LD
33,,PRAYAGRAJ,0.0,7.8,-100%,NR,40.1,82.3,-51%,D
34,,RAE BAREILLY,0.9,3.2,-71%,LD,11.5,48.0,-76%,LD
35,,SANT KABIR NAGAR,2.3,10.2,-77%,LD,39.8,162.7,-76%,LD
36,,SHRAWASTI NAGAR,10.3,8.4,22%,E,65.0,192.1,-66%,LD
37,,SIDDHARTH NAGAR,23.6,7.9,199%,LE,116.2,171.9,-32%,D
38,,SITAPUR,7.0,10.5,-33%,D,38.3,118.4,-68%,LD
39,,SONBHADRA,12.5,6.2,102%,LE,66.7,119.2,-44%,D
40,,SULTANPUR,4.8,4.7,2%,N,138.9,103.7,34%,E
41,,UNNAO,,7.1,,*,14.7,75.2,-80%,LD
42,,VARANASI,0.9,6.9,-86%,LD,63.6,95.1,-33%,D
1,,AGRA,8.3,8.5,-3%,N,81.5,55.4,47%,E
2,,ALIGARH,13.0,5.2,150%,LE,93.2,54.9,70%,LE
3,,AMROHA,10.2,5.2,96%,LE,37.7,88.7,-58%,D
4,,AURAIYA,0.0,3.6,-100%,NR,135.0,56.7,138%,LE
5,,BADAUN,29.0,7.7,277%,LE,125.5,81.3,54%,E
6,,BAGHPAT,0.0,7.5,-100%,NR,48.3,63.6,-24%,D
7,,BAREILLY,8.3,7.5,11%,N,130.4,96.1,36%,E
8,,BIJNOR,2.8,9.9,-72%,LD,44.4,113.6,-61%,LD
9,,BULANDSHAHAR,14.4,5.0,188%,LE,59.7,53.8,11%,N
10,,ETAH,31.3,4.1,664%,LE,129.0,45.7,182%,LE
11,,ETAWAH,0.9,3.7,-76%,LD,34.9,43.8,-20%,D
12,,FIROZABAD,7.8,8.4,-7%,N,84.5,58.7,44%,E
13,,GAUTAM BUDDHA NAGAR,0.0,2.8,-100%,NR,6.0,49.3,-88%,LD
14,,GHAZIABAD,0.0,2.8,-100%,NR,21.5,49.4,-56%,D
15,,HAMIRPUR,0.6,7.5,-92%,LD,66.1,83.9,-21%,D
16,,HAPUR,35.0,6.2,465%,LE,65.0,72.1,-10%,N
17,,HATHRAS,3.1,9.0,-66%,LD,94.1,52.4,79%,LE
18,,JALAUN,3.6,4.8,-25%,D,101.9,67.2,52%,E
19,,JHANSI,9.1,4.8,90%,LE,45.7,89.3,-49%,D
20,,KASGANJ,54.3,7.3,644%,LE,136.0,65.2,109%,LE
21,,LALITPUR,27.0,7.2,276%,LE,112.2,112.8,0%,N
22,,MAHOBA,14.2,3.4,318%,LE,59.0,69.1,-15%,N
23,,MAINPURI,34.4,11.0,213%,LE,110.1,69.3,59%,E
24,,MATHURA,18.3,7.2,153%,LE,42.4,48.7,-13%,N
25,,MEERUT,13.8,3.3,317%,LE,51.3,72.2,-29%,D
26,,MORADABAD,9.6,7.2,34%,E,136.0,111.3,22%,E
27,,MUZAFFARNAGAR,23.7,4.6,414%,LE,60.5,85.2,-29%,D
28,,PILIBHIT,21.8,4.0,444%,LE,56.5,109.0,-48%,D
29,,RAMPUR,2.7,3.4,-20%,D,77.3,66.0,17%,N
30,,SAHARANPUR,0.0,10.4,-100%,NR,10.4,116.2,-91%,LD
31,,SAMBHAL,37.8,7.4,410%,LE,83.8,74.9,12%,N
32,,SHAHJAHANPUR,0.0,6.6,-100%,NR,33.5,102.3,-67%,LD
33,,SHAMLI,0.0,5.0,-100%,NR,14.2,65.4,-78%,LD
1,,ALMORA,0.0,6.3,-100%,NR,41.6,146.3,-72%,LD
2,,BAGESHWAR,25.6,6.3,306%,LE,156.1,146.3,7%,N
3,,CHAMOLI,23.8,5.6,326%,LE,110.2,104.7,5%,N
4,,CHAMPAWAT,0.0,6.7,-100%,NR,95.6,211.9,-55%,D
5,,DEHRADUN,5.1,12.4,-59%,D,124.0,193.4,-36%,D
6,,GARHWAL PAURI,3.3,7.1,-54%,D,39.1,150.8,-74%,LD
7,,GARHWAL TEHRI,3.6,7.5,-52%,D,51.4,129.5,-60%,LD
8,,HARDWAR,12.0,5.4,121%,LE,27.0,134.3,-80%,LD
9,,NAINITAL,22.9,14.7,56%,E,146.9,265.8,-45%,D
10,,PITHORAGARH,8.0,12.1,-34%,D,114.0,248.9,-54%,D
11,,RUDRAPRAYAG,26.4,8.3,218%,LE,118.4,220.0,-46%,D
12,,UDHAM SINGH NAGAR,0.0,6.9,-100%,NR,47.9,174.5,-73%,LD
13,,UTTARKASHI,10.9,8.1,34%,E,76.9,176.6,-56%,D
1,,AMBALA,0.1,6.9,-99%,LD,11.7,117.9,-90%,LD
2,,BHIWANI,3.6,2.8,27%,E,23.8,40.2,-41%,D
3,,CHARKHI DADRI,0.0,2.8,-100%,NR,12.7,52.1,-76%,LD
